row_number,mpn,status,latency_ms,attempt_count,retry_count,transient_errors,final_error,validation_valid,missing_fields,invalid_fields,provenance
12,9A-570-320,success,14971.22,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 14970}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
13,DBD090094101F,success,3701.74,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 3701}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
14,DBDS12125A01F,success,3605.93,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 3605}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
15,DBDS12125G01F,success,7892.19,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 7891}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
16,DBDS14125A01F,success,20357.88,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 20357}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
17,DBDS14125G01F,success,13059.18,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 13058}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
18,49-94-0013,success,8503.99,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 8503}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
19,49-94-0029,success,3736.13,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 3735}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
20,49-94-0033,success,7983.59,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 7983}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
21,49-94-0001,success,5382.67,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 5382}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
22,49-94-0039,success,6377.19,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 6376}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
23,49-94-0043,success,3987.1,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 3986}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
24,49-94-0048,success,5807.75,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 5807}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
25,49-94-0053,success,23661.41,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 23661}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
26,49-94-0058,success,4422.28,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 4422}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
27,49-94-0063,success,6205.79,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 6205}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
28,49-94-0068,success,7193.47,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 7193}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
29,49-94-0073,success,3756.01,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 3755}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
30,49-94-0101,success,3518.66,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 3518}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
31,49-94-0107,success,13444.35,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 13444}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
32,49-94-0117,success,4087.9,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 4087}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
33,49-94-0123,success,11756.84,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 11756}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
34,49-94-0023,success,3379.8,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 3379}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
35,49-94-0121,success,39301.43,2,1,503,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 39301}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
36,49-94-0127,success,8207.13,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 8206}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
37,49-94-0137,success,3604.6,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 3604}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
38,49-94-0160,success,3609.01,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 3608}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
39,49-94-0223,success,3536.24,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 3536}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
40,49-94-0445,success,8930.49,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 8930}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
41,49-94-0803,success,6935.32,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 6934}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
42,49-94-0903,success,40577.56,2,1,503,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 40577}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
43,49-94-0907,success,8370.22,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 8369}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
44,49-94-0923,success,3506.65,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 3506}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
45,49-94-1900,success,5042.45,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 5041}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
46,49-94-1905,success,7973.0,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 7972}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
47,49-94-1915,success,3763.77,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 3763}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
